Make,Model,Battery Wh,Max PV Watts,W to Wh Ratio,Min PV Voltage,Max PV Voltage,Max PV Amps,Inverter Watts,Max AC Input Amps,Max AC Input Watts,Full Grid Charge Hours,80 Per Grid Charge Hours,AC Charger Watts,Estimated Minimum Grid Charge Efficiency,Real Minimum Grid Charge Efficiency,Inverter Efficiency,Battery Type,Retail Price (11/12/2023),Full Price (11/20/2023),Retail Price (12/30/2023),Retail Price (1/11/2024),Retail Price (1/26/2024),Bypass Mode,App Control,Unregulated Output,Warranty Years,Cycles,DoD,Lifespan,Link,Notes
ctechi,GT500 ,518,120,0.2316602317,12,24,7,500,,,3,,120,,1.438888889,90,LiFePO4,,,,319.00,318,FALSE,FALSE,FALSE,1,3500,80,10,https://ctechipower.com/products/ctechi-gt500-518wh-500w-portable-power-station,
ctechi,GT600,384,100,0.2604166667,,,,600,,,4.5,,142,,0.6009389671,90,LiFePO4,,,,299.99,299.99,FALSE,FALSE,FALSE,5,3500,80,10,https://ctechipower.com/products/ctechi-gt600-portable-power-station-600w-384wh,
ctechi,GT1500,1210,200,0.1652892562,,,,1200,,,6.5,,,,,90,LiFePO4,,,,719,678,FALSE,FALSE,FALSE,,3500,80,10,https://ctechipower.com/products/ctechi-gt1500-1210wh-1200w-portable-power-station?variant=41379119071369,
ctechi,ST2000,2073,500,0.2411963338,,,,1800,,,2,,,,,90,LiFePO4,,,,1319.00,1198,FALSE,FALSE,FALSE,1,3500,80,10,https://ctechipower.com/products/ctechi-st2000-portable-power-station-2000w,
Renogy,Portable Power Station 1000,998.4,400,0.4006410256,,,,1500,,,1.8,1,,,,88,LiFePO4,699.99,1249,679.99,,649,FALSE,FALSE,FALSE,,3000,80,,https://www.renogy.com/renogy-portable-power-station-1000/,
Dabbsson,DBS1300,1330,400,0.3007518797,,,,1200,,,,0.7333333333,,,,80,LiFePO4,699.00,899,599.00,,599,FALSE,FALSE,FALSE,,4500,80,15,https://www.dabbsson.com/products/dbs1300-portable-power-station-1330wh,
Dabbsson,DBS2300 Plus ,2330,800,0.3433476395,12,60,,2200,,1800,2,,1800,,,80,LiFePO4,,,,,1299,FALSE,TRUE,FALSE,,4500,80,15,https://www.dabbsson.com/products/dbs2300-home-backup-power-station,
VTOMAN,Jump 600,640,100,0.15625,12,30,,600,,,6,,60,,1.777777778,85,LiFePO4,599.00,599,459.00,,459,FALSE,FALSE,FALSE,2,3100,80,,https://vtoman.com/collections/power-station/products/vtoman-jump-600-portable-power-station-600w-640wh?variant=42291082821801,
VTOMAN,Jump 600X,299,110,0.3678929766,12,30,,600,,,3,,90,,1.107407407,85,LiFePO4,399.00,399,299.00,,299,FALSE,FALSE,FALSE,,3000,80,,https://vtoman.com/products/vtoman-jump-600x-power-station?variant=43171255189673,
VTOMAN,Jump 1000,1408,200,0.1420454545,,,,1000,,,7,,180,,1.117460317,85,LiFePO4,1299.00,1299,699.00,,899,FALSE,FALSE,FALSE,,3100,80,,https://vtoman.com/collections/power-station/products/jump1000-power-station?variant=42223453012137,
VTOMAN,Jump 1500X,828,200,0.2415458937,,,,1500,,,4,,180,,1.15,85,LiFePO4,1099.00,1099,599.00,,699,FALSE,FALSE,FALSE,,3100,80,,https://vtoman.com/collections/power-station/products/jump1500-power-station,
VTOMAN,Jump 1800,1548,200,0.1291989664,12,30,,1800,,,8,,180,,1.075,85,LiFePO4,1499.00,1499,799.00,,799,FALSE,FALSE,FALSE,,3100,80,,https://vtoman.com/products/vtoman-jump-1800-portable-power-station-1800w-1548wh-capacity-expandable?variant=43370745725097,
VTOMAN,FlashSpeed 1500,1548,400,0.2583979328,30,60,,1500,,,1,,,,,85,LiFePO4,1699.00,1699,799.00,,749,FALSE,FALSE,FALSE,5,3000,80,,https://vtoman.com/collections/power-station/products/vtoman-flashspeed-1500-power-station,
Growatt,INFINITY 1300,1382,800,0.5788712012,12,100,,1800,,1200,1.8,,,0.6398148148,0.6398148148,90,LiFePO4,1099.00,1299,1099.00,,1099,FALSE,FALSE,FALSE,5,3000,80,,https://growattportable.com/products/growatt-infinity-1300-lifepo4-portable-power-station,
Growatt,VITA 550,538,240,0.4460966543,12,24,10,1050,6,500,1.6,,300,0.6725,1.120833333,90,LiFePO4,499.00,529,499.00,,369,FALSE,TRUE,FALSE,2,3000,80,10,https://growattportable.com/products/growatt-vita-550-portable-power-station-easter-sale?gad_source=4,
OUKITEL,CN505,615,100,0.162601626,12,24,3,500,,,7,,90,,0.9761904762,88,LiFePO4,269,599,,,,FALSE,FALSE,FALSE,3,2000,80,,https://us.oukitel.com/collections/protabel-power-station/products/cn505-portable-power-station,
OUKITEL,P1201,960,500,0.5208333333,12,48,15,1200,15,700,,1.5,,#DIV/0!,,,LiFePO4,499,799,439.00,,439,FALSE,FALSE,FALSE,3,3500,80,,https://us.oukitel.com/collections/protabel-power-station/products/oukitel-p1201-portable-power-station,
OUKITEL,P2001,2000,500,0.25,12,48,15,2000,15,1100,,1.8,,#DIV/0!,,,LiFePO4,899,1299,899.00,,899,FALSE,FALSE,FALSE,3,3500,80,,https://us.oukitel.com/collections/protabel-power-station/products/p2001-portable-power-station,
OUKITEL,BP2000,2048,1000,0.48828125,12,120,15,2200,,1800,,1.5,,#DIV/0!,,,LiFePO4,,,,1699.00,1699,FALSE,FALSE,FALSE,,3500,80,10,https://us.oukitel.com/collections/best-selling/products/oukitel-bp2000-portable-power-station,
Zendure,SuperBase Pro Power Station 1500,1440,600,0.4166666667,12,60,10,2000,,1800,2,1.066666667,,,,,LiFePO4,,,,,1699,FALSE,TRUE,FALSE,2,3000,80,,https://zendure.com/products/superbase-pro-2000,the manual specifies 1 hour for 75% not 80% so its been prorated to more accurately reflect this
